23,gnomadg_an-eur,EUR_AN,gnomAD-SV Alt AN - European,Y,1032,variant,gnomAD,v2.1,Total number of alleles in samples of European ancestry,integer,,N,,,,,0,,,,,,,,,,Y
24,gnomadg_af-oth,OTH_AF,gnomAD-SV Alt AF - Other,Y,0.0345,variant,gnomAD,v2.1,Alternate allele frequency in samples of Other ancestry,number,,N,,,,,0,1,,,,,,,,,Y
25,gnomadg_ac-oth,OTH_AC,gnomAD-SV Alt AC - Other,Y,210,variant,gnomAD,v2.1,Alternate allele count for samples of Other ancestry,integer,,N,,,,,0,,,,,,,,,,Y
26,gnomadg_an-oth,OTH_AN,gnomAD-SV Alt AN - Other,Y,1032,variant,gnomAD,v2.1,Total number of alleles in samples of Other ancestry,integer,,N,,,,,0,,,,,,,,,,Y
27,cytoband_start,Cyto1,Cytoband at Breakpoint 1,Y,p33,variant,SV_cytoband.py,commit:1703317,Cytoband at breakpoint 1 of SV (POS in VCF),string,,N,,,,,,,,,,,,,,,
28,cytoband_end,Cyto2,Cytoband at Breakpoint 2,Y,p36.13,variant,SV_cytoband.py,commit:1703317,Cytoband at breakpoint 2 of SV (END in VCF INFO),string,,N,,,,,,,,,,,,,,,
29,unrelated_count,UNRELATED,20 Unrelated Count,Y,0,variant,20_unrelated_SV_filter.py,commit: 395b463,Number of 20 unrelated individuals that share this variant with sample,integer,,N,,,,,0,20,,,,,,,,,
30,csq_consequence,csq_consequence,Variant Consequence,Y,intron_variant&non_coding_transcript_variant,variant,VEP,v101,Transcript Consequence Type,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",Y,,,,,,,,VariantConsequence,,,,,,,
31,csq_consequence.var_conseq_id,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
32,csq_consequence.definition,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
33,csq_consequence.impact,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
34,csq_consequence.location,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
35,csq_consequence.coding_effect,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
36,csq_consequence.var_conseq_name,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
37,csq_gene,csq_gene,Gene,Y,ENSG00000223972,variant,VEP,,Transcript Gene,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,Gene,,,,,,,
38,csq_gene.gene_symbol,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
39,csq_gene.ensgid,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
40,csq_gene.s_het,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
41,csq_gene.oe_mis,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
42,csq_gene.oe_lof,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
43,csq_gene.oe_lof_upper,,,Y,,variant,,,,,"{""key"": ""transcript"", ""title"": ""Transcript""}",,,,,,,,,,Y,,,,,,
44,csq_feature,csq_feature,Transcript (Ensembl),Y,ENST00000450305,variant,VEP,v101,Transcript Ensembl ID,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
45,csq_biotype,csq_biotype,Biotype,Y,transcribed_unprocessed_pseudogene,variant,VEP,v101,Biotype of transcript or regulatory feature,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
46,csq_exon,csq_exon,Exon,Y,6/6,variant,VEP,v101,Exon number(s) / total,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
47,csq_intron,csq_intron,Intron,Y,1/4,variant,VEP,v101,Intron number(s) / total,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
48,csq_hgvsc,csq_hgvsc,HGVS-coding,Y,ENST00000450305.2:n.575T>A,variant,VEP,v101,HGVS coding sequence name,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
49,csq_hgvsp,csq_hgvsp,HGVS-protein,Y,ENSP00000334393.3:p.Ser60%3D,variant,VEP,v101,HGVS protein sequence name,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
50,csq_cdna_position,csq_cdna_position,cDNA position,Y,575,variant,VEP,v101,Relative position of base pair in cDNA sequence,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
51,csq_cds_position,csq_cds_position,CDS position,Y,180,variant,VEP,v101,Relative position of base pair in coding sequence,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
52,csq_protein_position,csq_protein_position,Amino Acid Position,Y,60,variant,VEP,v101,Relative position of amino acid in protein,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
53,csq_amino_acids,csq_amino_acids,Amino Acid Change,Y,S,variant,VEP,v101,Reference and variant amino acids,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
54,csq_codons,csq_codons,Codon Change,Y,tcA/tcG,variant,VEP,v101,Reference and variant codon sequence,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
55,csq_distance,csq_distance,Distance to Transcript,Y,1863,variant,VEP,v101,Shortest distance from variant to transcript,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
56,csq_canonical,csq_canonical,Canonical Transcript,Y,YES,variant,VEP,v101,Transcript is canonical for gene per Ensembl,boolean,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
57,csq_strand,csq_strand,Strand,Y,1,variant,VEP,v101,Strand of the feature,boolean,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
58,csq_most_severe,csq_most_severe,Most Severe Transcript (Boolean),Y,1,variant,sv_cgap_annotations.py,,Indicates if transcript is most severe for this gene,boolean,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
59,csq_variant_5_prime_location,csq_variant_5_prime_location,Variant Location 5' of Transcript,Y,Upstream,variant,sv_cgap_annotations.py,,The location of the variant relative to the 5' end of the transcript,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
60,csq_variant_3_prime_location,csq_variant_3_prime_location,Variant Location 3' of Transcript,Y,Downstream,variant,sv_cgap_annotations.py,,The location of the variant relative to the 3' end of the transcript,string,"{""key"": ""transcript"", ""title"": ""Transcript""}",N,,,,,,,,,,,,,,,
61,hg19_chr,hg19_chr,Chromosome (hg19),Y,1,variant,pyliftover,v0.4,Chromosome (hg19),string,,N,,,,,,,,,,,,,,,
62,hg19_start,hg19_pos,Start Position (hg19),Y,69511,variant,pyliftover,v0.4,Start position (hg19),integer,,N,,,,,,,,,,,,,,,
63,hg19_end,hg19_end,End Position (hg19),Y,71101,variant,pyliftover,v0.4,End position (hg19),integer,,N,,,,,,,,,,,,,,,
64,samplegeno_numgt,GT,Sample Genotype (Numeric),Y,0/1,sample_variant,VCF,,Sample genotype (number format),string,"{""key"": ""samplegeno"", ""title"": ""Sample Genotype""}",N,,,,,,,,,,,,,,,
65,samplegeno_sampleid,sample,Sample Genotype (Sample ID),Y,NA12877_sample,sample_variant,VCF,,Sample ID,string,"{""key"": ""samplegeno"", ""title"": ""Sample Genotype""}",N,,,,,,,,,,,,,,,
66,samplegeno_quality,GQ,Sample Genotype Quality,Y,603,sample_variant,VCF,,Sample Phred-scaled genotype quality,integer,"{""key"": ""samplegeno"", ""title"": ""Sample Genotype""}",N,,,,,,,,,,,,,,,
67,samplegeno_likelihood,PL,"Sample Genotype Likelihoods (0/0, 0/1, 1/1)",Y,"859,0,600",sample_variant,VCF,,"Sample normalized, Phred-scaled genotype likelihoods (0/0, 0/1, 1/1)",string,"{""key"": ""samplegeno"", ""title"": ""Sample Genotype""}",N,,,,,,,,,,,,,,,
68,imprecise,IMPRECISE,Imprecise Structural Variant,Y,,sample_variant,VCF,,Imprecise structural variant flag from Manta,boolean,,N,,,,,,,,,,,,,,,
69,confidence_interval_start,CIPOS,Start Position Confidence Interval,Y,"-496,496",sample_variant,VCF,,Confidence interval of start position in basepairs,integer,,Y,,,,,,,,,,,,,,,
70,confidence_interval_end,CIEND,End Position Confidence Interval,Y,"-310,310",sample_variant,VCF,,Confidence interval of end position in basepairs,integer,,Y,,,,,,,,,,,,,,,
